ID	D55_H041_T1_20190110	D55_H041_T1_20180201	D60_H041_T1_20180208	D6_H041_T1_20180131	D55_PMN_H041_T0_20180201	D55_PMN_H041_T0_20190110	D60_PMN_H041_T0_20180208	D60_PMN_H041_T0_20181212	D6_PMN_H041_T0_20180131	D55_PMN_H041_T1_20180201	D55_PMN_H041_T1_20190110	D60_PMN_H041_T1_20181212	D6_PMN_H041_T1_20180131
H041_1814	124	271	123	219	47	36	78	19	17	14	27	38	10
H041_1815	48	135	197	85	32	12	88	5	2	2	14	9	3
H041_1816	334	836	327	540	137	66	117	29	45	30	85	73	31
H041_1817	11	53	33	46	5	5	18	1	4	1	7	3	1
H041_1818	42	127	72	83	55	86	95	37	43	5	42	60	12
H041_1819	1193	1584	966	1758	798	697	1014	741	512	128	421	796	177
H041_182	41	102	27	94	27	27	19	32	21	5	15	33	5
H041_1820	5998	9547	5187	10929	1898	2062	2897	1566	1733	622	1621	1789	641
H041_1821	4284	5469	2576	5070	1940	1775	2303	1550	1397	338	1028	1350	453
H041_1822	3407	7160	2287	5243	11178	8637	13530	5149	8262	1342	3497	4729	2037
H041_1823	49	100	20	37	23	40	28	21	27	5	29	18	21
H041_1824	5	11	2	5	4	2	3	3	1	0	3	3	2
H041_1825	0	0	0	0	0	0	0	0	0	0	0	0	0
H041_1826	0	0	0	0	0	0	0	0	0	0	0	0	0
H041_1827	0	0	0	0	0	0	0	0	0	0	0	0	0
H041_1828	0	0	0	0	0	0	0	0	0	0	0	0	0
H041_1829	0	0	0	0	0	0	0	0	0	0	0	0	0
H041_183	2584	6227	3666	5437	893	1208	1752	887	806	344	1129	1535	426
H041_1830	0	2	0	0	0	1	0	0	0	0	0	0	0
H041_1831	22	24	18	28	13	7	19	2	1	4	7	8	2
H041_1832	821	1761	767	1208	1235	898	1225	1030	993	213	513	810	387
H041_1833	337	791	313	624	107	117	125	117	123	18	99	115	37
H041_1834	207	551	261	376	190	164	228	167	191	50	133	171	57
H041_1835	5	15	16	8	1	6	10	4	6	0	3	9	2
H041_1836	520	993	464	1012	256	258	389	308	258	70	161	237	69
H041_1837	16	49	14	27	15	23	33	29	21	5	9	20	4
H041_1838	27	28	19	11	3	4	16	1	5	1	3	2	2
H041_1839	4	4	5	5	4	0	7	4	4	0	1	1	0
H041_184	1560	2728	1906	1907	539	710	1122	446	462	188	518	552	193
H041_1840	19	43	18	30	2	2	10	7	1	0	1	9	4
H041_1841	20	45	18	25	25	48	58	42	23	5	19	27	2
H041_1842	2	9	3	1	3	5	9	8	10	0	1	6	2
H041_1843	319	1132	261	733	789	450	556	484	576	137	224	405	208
H041_1844	5247	12939	5102	9975	3864	2434	3716	3274	2786	606	1688	2830	901
H041_1845	4936	12401	5695	9506	3815	3368	5866	3284	3252	750	2527	3788	1108
H041_1846	383	697	531	694	486	323	1163	140	275	81	178	139	140
H041_1847	12491	25135	9081	21862	4041	4840	5967	4042	4509	958	3287	4258	1857
H041_1848	2466	3168	2321	2759	1248	1435	1954	1503	1041	280	1028	1353	470
H041_1849	299	339	295	303	342	319	491	243	177	65	178	276	108
H041_185	1045	1102	413	732	194	249	298	144	107	230	536	836	227
H041_1850	3148	3444	2243	3141	2285	2353	2867	1742	1327	466	1506	2031	650
H041_1851	1061	2959	1306	1843	1103	1505	1733	1071	1290	235	937	1408	277
H041_1852	1688	4631	1859	3178	1408	1678	2085	1483	1580	364	1006	1592	424
H041_1853	64	195	60	139	75	74	73	73	55	21	33	71	12
H041_1855	2649	5116	3036	4466	2098	1758	2729	1878	1878	417	1120	1750	642
H041_1856	363	1135	474	839	241	221	300	194	385	48	178	245	98
H041_1857	304	534	446	342	190	232	292	229	73	40	145	209	34
H041_1858	879	1746	705	1181	1241	895	1212	972	939	226	575	770	333
H041_1859	248	615	271	438	61	110	123	69	73	16	65	67	20
H041_186	5642	13660	5308	10471	3181	3820	4672	3918	3801	812	2578	3851	1105
H041_1860	258	575	307	449	278	212	256	219	226	49	129	200	61
H041_1861	10	4	9	13	3	4	13	1	7	0	4	1	3
H041_1862	435	851	434	918	216	228	344	256	215	56	163	227	71
H041_1863	206	399	122	244	30	37	43	31	36	13	26	39	15
H041_1864	15	21	17	15	11	7	26	15	6	1	2	3	4
H041_1865	29	44	32	26	3	3	9	2	6	0	8	3	2
H041_1866	1	0	0	0	0	0	0	0	0	0	0	0	0
H041_1867	69	114	39	124	19	22	33	18	30	4	13	16	13
H041_1868	0	2	0	1	0	1	1	0	3	1	0	0	1
H041_1869	2981	7237	3492	3627	2222	2270	3163	1916	1271	437	1655	2822	406
H041_187	5568	5945	3658	4509	2131	2862	3581	3557	1572	637	2083	3369	816
H041_1870	4696	10109	3186	11254	3884	4192	5372	2670	3590	865	3272	3523	1082
H041_1871	4329	9230	3367	9135	2638	2105	2817	1944	1574	551	1410	2265	814
H041_1872	2104	6529	3498	4537	910	1357	1832	1021	1321	232	872	1235	382
H041_1873	2247	1824	887	2122	675	1011	1008	576	634	155	514	548	217
H041_1874	8922	27031	11884	24737	5151	5526	6989	4268	5932	1374	4796	7147	2279
H041_1875	19162	29875	18639	26077	14111	10863	19105	14345	8486	3223	8176	14351	4665
H041_1876	1759	2884	1007	4584	1349	1970	2329	1025	1228	284	1108	1160	437
H041_1877	705	1772	440	792	103	204	314	129	121	33	271	189	45
H041_1878	920	1495	562	1624	594	551	605	344	418	118	373	508	155
H041_1879	4	13	2	7	9	4	3	6	1	0	1	1	0
H041_188	605	619	474	529	312	424	486	348	303	104	291	321	94
H041_1880	29	35	69	45	12	17	28	13	16	1	19	21	7
H041_1881	14	47	56	26	5	6	17	8	6	0	7	12	4
H041_1882	77	276	176	212	21	40	31	44	24	16	37	55	15
H041_1883	737	1477	1104	1149	131	138	216	164	163	66	124	243	82
H041_1884	62	156	83	96	14	32	62	24	14	7	17	25	8
H041_1885	465	1087	679	821	187	245	401	211	132	39	160	247	54
H041_1886	48	61	58	64	26	16	44	15	7	2	9	31	6
H041_1887	33	63	60	60	13	28	43	19	12	5	16	23	7
H041_1888	477	959	670	853	285	255	437	223	167	76	206	310	83
H041_1889	109	251	221	107	48	64	101	48	29	12	49	97	9
H041_189	1367	2328	1347	1698	921	990	1346	1149	1067	238	664	889	335
H041_1890	33	99	75	50	20	9	38	13	6	5	13	20	2
H041_1891	20	54	78	46	8	7	36	4	12	1	10	7	4
H041_1892	12	33	17	12	5	1	7	0	2	1	5	1	0
H041_1893	0	1	1	3	2	0	0	0	2	0	0	1	0
H041_1894	3	4	1	0	2	2	1	0	0	0	0	2	3
H041_1895	14	43	22	16	13	5	26	4	8	2	8	8	3
H041_1896	25	18	23	20	4	3	14	1	1	2	2	3	3
H041_1897	19	30	34	31	9	2	21	4	3	5	5	5	8
H041_1898	147	417	188	333	141	80	89	60	52	52	63	68	66
H041_1899	36	21	33	16	7	6	26	5	1	0	2	3	3
H041_19	6336	18544	10152	11105	3068	5167	8935	5784	3708	786	3499	5953	804
H041_190	437	1282	409	843	432	314	513	309	313	63	248	327	86
H041_1900	150	394	255	247	104	67	142	49	32	24	46	69	35
H041_1901	434	662	334	240	217	147	169	55	45	44	63	93	34
H041_1902	13	19	19	16	4	8	15	5	5	0	7	6	0
H041_1903	64	170	52	70	21	15	27	13	11	3	16	32	6
H041_1904	2090	5367	1317	3555	7420	6235	7194	3653	6330	949	2547	3373	1349
H041_1905	1539	4641	1850	2970	1011	1028	1538	1021	948	241	706	1044	291
H041_1906	1964	2532	1469	1843	687	641	837	481	555	196	483	675	263
H041_1907	2935	5194	2969	5947	693	484	866	466	472	181	551	602	269
H041_1908	1880	3911	1754	3892	755	668	941	373	589	189	581	725	265
H041_1909	1	2	0	1	0	1	0	0	0	0	2	1	1
H041_191	257	452	237	442	250	328	423	375	240	70	206	283	86
H041_1910	0	0	0	0	0	0	0	0	0	0	0	0	0
H041_1911	45	140	179	88	24	6	86	6	6	5	5	7	1
H041_1912	90	184	79	135	51	47	68	26	23	17	26	49	8
H041_1913	0	0	3	0	0	0	0	0	0	0	0	0	0
H041_1914	0	0	0	0	0	0	0	0	0	0	0	0	0
H041_1915	1	4	4	2	0	0	1	2	1	0	0	0	1
H041_1916	0	0	0	0	0	0	0	0	0	0	0	0	0
H041_1917	0	0	0	0	0	0	0	0	0	0	0	0	0
H041_1918	0	0	0	0	0	0	0	0	0	0	0	0	0
H041_1919	107	248	123	191	64	23	54	28	24	13	27	49	16
H041_192	17822	29902	16860	28392	5330	7411	10303	7246	5879	1664	6883	11393	2527
H041_1920	266	526	291	308	108	84	120	82	70	16	65	91	35
H041_1921	178	322	185	228	51	39	45	38	45	12	55	50	21
