ID	D55_H041_T1_20190110	D55_H041_T1_20180201	D60_H041_T1_20180208	D6_H041_T1_20180131	D55_PMN_H041_T0_20180201	D55_PMN_H041_T0_20190110	D60_PMN_H041_T0_20180208	D60_PMN_H041_T0_20181212	D6_PMN_H041_T0_20180131	D55_PMN_H041_T1_20180201	D55_PMN_H041_T1_20190110	D60_PMN_H041_T1_20181212	D6_PMN_H041_T1_20180131
H041_356	859	1731	850	1085	820	1593	1764	768	717	139	938	1094	161
H041_357	24674	162414	88934	26899	40123	28511	89158	24753	19642	10822	18088	27639	6373
H041_358	21139	34464	19120	30689	13004	10445	15352	12897	10223	2863	7258	12698	4996
H041_359	4312	6876	3345	5830	5868	4816	6092	4320	3887	979	2273	3275	1532
H041_36	378	1069	776	674	240	305	466	242	169	60	263	490	120
H041_360	6912	17933	5149	18232	12774	15114	16588	10640	11793	2471	10328	14733	3148
H041_361	25	53	16	33	62	34	84	42	57	11	25	27	12
H041_362	5763	6087	4382	6211	2714	2642	4052	2969	2551	705	1819	2840	1168
H041_363	1410	1561	953	1276	1895	1606	2211	1749	1255	372	904	1414	407
H041_364	8828	15655	8270	11213	3355	3423	4910	5132	3008	814	2821	5074	1274
H041_365	18445	43265	16732	43965	9241	6765	9547	9147	6662	2163	6960	12753	3433
H041_366	1933	3827	1432	3850	317	177	313	109	180	85	213	300	123
H041_367	1845	2207	1953	1191	3874	2944	5060	3108	2753	734	811	1317	947
H041_368	437	1261	825	646	1528	1525	2963	1096	1297	269	492	856	328
H041_369	17636	38158	16158	24158	12704	11275	16203	14187	13149	2352	6972	11318	3880
H041_37	1314	3566	2150	2831	125	253	402	201	198	47	267	381	74
H041_370	1470	2750	2188	824	7962	13954	16265	7120	9883	875	6393	8449	1877
H041_372	10450	13410	7795	12068	6424	5820	8393	4762	4524	1387	3080	4371	1864
H041_373	108	265	184	145	97	98	227	60	67	18	46	49	48
H041_374	58030	75524	40158	69276	29743	32952	44530	30168	29549	6877	17944	25720	10406
H041_375	6358	6872	4449	6473	1918	2373	2865	2369	1216	410	1866	3390	469
H041_376	1252	1725	1041	2067	1065	864	1026	751	639	203	752	1315	306
H041_377	883	1898	768	1574	1322	947	1307	967	1095	193	854	1464	351
H041_378	1522	4095	1011	3440	829	904	1151	773	742	141	867	1398	214
H041_379	1020	2093	756	1679	498	474	825	360	452	92	421	671	165
H041_38	1897	2174	1524	2547	421	629	717	510	283	116	403	629	190
H041_380	24307	43238	21639	41259	9130	9603	14074	10384	8103	2564	10370	18943	3521
H041_381	4208	6861	3369	4910	3971	4063	5731	3079	3280	633	2224	2677	946
H041_382	4184	2353	2700	1549	1051	2019	2189	317	766	153	1234	402	248
H041_383	10383	13751	8097	12740	4431	5012	6441	3566	3278	991	3778	5656	1522
H041_384	2181	2489	1838	2042	1632	1326	2449	973	875	333	1001	1609	423
H041_385	959	1202	848	1135	901	833	1347	526	639	177	548	864	335
H041_386	6808	14937	6221	12652	3838	3187	3675	3906	3167	1011	2447	4533	1303
H041_387	5233	2191	2347	1903	2660	3215	4415	2899	2047	537	1440	2349	739
H041_388	10633	20422	9250	17619	9157	8677	10930	8771	6883	1852	5632	8691	2457
H041_389	861	1374	704	1187	529	423	679	394	381	98	254	369	113
H041_39	22797	49726	15589	46799	2986	12545	13101	3634	7134	1240	10563	10286	1346
H041_390	19017	32201	15138	29898	5051	5327	7470	4687	4603	1519	4403	6225	1810
H041_391	629	970	520	1026	740	520	731	453	465	106	272	373	169
H041_392	2918	3165	1960	3236	1474	1986	2457	1205	930	278	1228	1310	441
H041_393	343	427	325	395	346	156	312	233	121	74	101	168	111
H041_394	1592	2152	1307	2105	1239	699	1125	835	502	268	522	821	314
H041_395	4381	5485	3100	5820	1144	1090	1277	1109	687	364	929	1335	561
H041_396	697	559	448	657	160	140	334	103	67	45	129	196	65
H041_397	2086	3013	1598	3222	1040	997	1370	1100	515	287	906	1788	354
H041_398	3151	7540	3720	6311	1687	1785	2283	1974	1273	552	2245	3941	734
H041_399	142	223	67	194	43	23	31	10	38	19	25	23	24
H041_4	765	1113	428	734	552	492	449	440	538	93	231	185	99
H041_40	256	468	263	284	234	257	400	121	130	52	128	157	67
H041_400	56	114	47	114	21	21	26	22	14	4	14	27	12
H041_401	42	94	36	88	3	5	5	5	7	6	2	7	12
H041_402	49	81	29	44	7	12	10	11	2	6	16	28	15
H041_403	370	1653	1028	1586	301	720	847	307	344	67	276	410	83
H041_404	2714	7986	4666	6194	734	1143	1541	969	883	232	884	1239	312
H041_405	1297	3973	2396	3704	632	1160	1648	800	539	133	764	1105	222
H041_406	1740	2131	1749	2227	558	390	900	376	424	115	252	432	182
H041_407	6377	12512	5684	9932	10291	12030	23991	6849	9419	1296	6430	8688	2152
H041_409	183	570	799	437	285	392	1002	259	287	47	212	313	56
H041_41	6	9	11	19	16	3	27	17	5	2	5	9	0
H041_410	75	144	244	102	61	28	140	38	35	10	31	34	25
H041_411	4919	10513	4994	8600	1769	1877	2750	919	1164	307	1409	1666	544
H041_412	361	865	312	477	103	116	194	87	139	26	78	112	34
H041_413	414	784	252	581	249	197	236	263	194	44	143	218	51
H041_414	385	671	272	632	238	193	298	218	177	67	134	223	80
H041_415	18420	15801	8634	14036	4143	5255	8258	5793	3707	1374	3915	6176	1848
H041_416	3274	7400	2235	8259	1195	1374	1532	796	1048	424	1070	1201	466
H041_417	461	797	505	558	314	355	760	281	245	101	199	308	118
H041_418	3689	2285	2115	1938	1475	1439	1860	1838	877	413	935	1720	553
H041_419	7358	13631	7135	11786	4142	3923	5666	5317	3694	889	2451	4540	1359
H041_42	230	290	164	282	87	86	168	54	53	15	44	79	31
H041_420	8469	17973	8649	12697	10122	8280	14002	9541	8821	1915	4903	7569	2419
H041_421	16	46	25	33	13	25	28	12	24	1	12	13	2
H041_422	573	1317	874	1022	598	603	1290	538	410	133	427	636	210
H041_423	244	424	386	347	461	418	931	420	276	124	302	499	145
H041_424	12168	10473	7366	10263	5627	5751	7876	5690	4182	1298	3893	6337	1671
H041_425	1669	4971	3262	3769	867	1156	1917	1106	997	204	701	1146	301
H041_426	2363	5188	3206	3346	954	1768	2489	1307	1149	194	1112	1520	286
H041_427	11734	9503	5276	7322	3090	2600	5568	2570	3329	807	1997	2327	971
H041_428	2031	2117	1723	2774	556	597	1869	131	332	198	381	222	246
H041_429	4557	6875	2964	7150	1704	1495	2239	1627	991	561	1394	1848	709
H041_43	458	497	213	620	220	222	216	157	138	46	109	141	59
H041_430	2483	2823	1709	2679	1236	1287	2150	1056	700	287	1054	1528	390
H041_431	252	533	262	306	216	107	279	195	94	36	93	177	79
H041_432	135	291	125	259	136	109	168	86	110	27	87	95	37
H041_433	7860	17079	7942	14875	4218	3875	5346	3452	3076	1029	2746	4259	1568
H041_434	273	672	345	487	486	247	472	465	224	71	200	419	141
H041_435	9900	22270	7763	25654	2229	1758	2472	1848	1352	608	2353	3988	988
H041_436	8277	6471	3988	6861	3518	3852	5042	3628	1702	746	2280	3676	926
H041_437	29352	45120	24344	45946	17702	16317	22952	20199	12646	3663	11531	20837	5728
H041_438	20185	33009	12303	37763	9214	8479	11711	8677	8351	2020	6673	11150	3165
H041_439	840	577	499	431	696	934	1216	584	614	137	454	655	237
H041_44	10866	19747	7417	13795	11053	13860	26870	5749	11313	2784	7240	7018	3748
H041_440	1471	4296	2685	2845	1408	2813	3204	1550	1491	339	1451	2084	498
H041_441	1172	1021	492	1057	355	354	427	281	172	76	191	322	110
H041_442	1601	5036	2407	4026	1641	1809	2277	1809	1538	360	1105	1914	476
H041_443	1825	4607	2055	4100	2077	1601	2275	2014	1704	560	1105	1779	745
H041_444	1744	5718	2243	4483	1841	2147	2430	1654	1675	508	1448	2185	664
H041_445	1487	3110	1692	2939	1069	980	1529	1284	775	255	767	1274	386
H041_446	923	2265	1153	1938	1170	1050	1527	891	910	273	742	1024	369
H041_447	12381	17733	9305	14993	6398	5026	6580	7002	4306	1515	4122	7518	2151
H041_448	6286	7097	3622	6873	2647	2512	3482	2429	1870	539	1690	2594	855
H041_449	6096	3280	2080	4101	4018	2227	3713	2358	3450	438	1189	2202	1238
H041_45	3099	5526	3221	4937	1286	1559	2094	1246	1173	298	1098	1712	435
H041_450	38154	51123	30692	46421	28694	23134	39176	35091	26681	7312	15618	29422	10285
H041_451	15021	34351	15609	29434	18287	15790	27691	21312	19241	5122	10203	17666	6950
H041_452	49908	98644	51461	93332	44166	33854	65282	57366	46911	9944	23262	50973	15798
H041_453	11794	29115	14565	27685	12405	12476	21729	15851	13490	2533	8548	14523	4241
H041_454	10945	25980	16789	23627	9860	6124	16890	9280	10271	1838	4617	9159	3373
H041_455	24293	90767	30838	92795	13401	14311	29368	10856	14572	4329	11374	15287	5909
H041_456	10244	23040	11243	18950	9454	7617	14471	8638	8523	1449	4331	8151	2143
H041_457	1915	1970	945	1697	1069	1593	3250	631	1060	190	878	987	254
H041_458	828	1578	1129	1558	259	246	668	99	221	68	174	123	121
H041_459	4938	11743	4751	11018	1868	1942	2715	2078	1821	365	1366	2480	606
H041_46	565	969	689	687	508	498	941	360	408	61	301	447	134
H041_460	568	1791	965	1195	646	770	1019	627	578	139	523	746	185
H041_461	27209	44354	18899	51608	5205	6309	8597	4966	5951	2126	5430	7583	3495
H041_462	452	318	278	289	242	442	547	452	166	45	280	456	61
H041_463	1119	1846	992	1524	1162	1310	1809	1030	947	225	693	1225	383
H041_464	3235	4318	2527	3860	1255	1307	1572	1256	845	266	941	1475	459
H041_465	15360	29826	12438	28818	16189	28138	29205	13763	17809	3921	17797	20346	5826
H041_466	2175	4141	1754	4406	556	533	713	612	479	182	646	976	278
H041_467	1323	2324	650	2522	692	727	1016	777	610	147	662	937	226
H041_468	12299	8695	5445	9295	1500	2637	3109	1793	1541	416	2202	2465	558
H041_469	2230	3681	1864	2770	1075	1129	1351	958	797	266	722	1079	273
H041_47	683	363	254	421	119	151	143	106	43	19	77	165	36
H041_470	1312	3031	885	1434	644	556	861	533	645	185	244	376	213
H041_471	4757	11126	6897	10087	2653	4529	12577	1966	3329	876	2748	2633	1445
H041_472	214	469	286	326	24	23	53	38	10	7	37	53	17
H041_473	771	1194	548	1082	320	309	537	258	190	82	302	398	110
H041_474	317	251	266	254	115	117	246	90	41	37	99	162	24
H041_475	2130	2634	1618	3864	556	585	971	686	305	130	562	1104	208
H041_476	3704	5077	3087	5959	2145	1961	2532	1649	1077	446	1479	2365	593
H041_477	187	241	307	312	317	127	456	112	101	52	87	180	64
H041_478	4788	7586	4628	8038	3352	2743	3702	2711	1709	674	2000	3953	963
H041_479	3189	4830	2994	4169	2116	2204	2455	1463	1147	406	1508	2141	467
H041_480	3969	8231	4487	6057	4085	3360	4426	2323	2236	638	1966	2859	739
H041_481	6371	14369	8418	10534	5062	5379	7649	3214	2431	738	2426	3680	926
H041_482	1017	2187	747	1601	452	440	602	358	342	138	365	481	162
H041_483	129	216	172	191	56	12	79	25	39	18	32	34	16
H041_484	700	1172	521	1020	384	341	448	352	222	105	283	495	154
H041_485	13006	28036	11689	27069	697	1149	1357	658	614	199	1282	2114	641
H041_486	13964	15801	9073	11070	13337	11284	15960	9956	6563	2735	7057	11812	3987
H041_487	1499	3338	1074	2135	285	365	500	187	270	200	469	581	317
H041_488	1637	2074	548	1773	162	116	196	50	64	141	259	232	189
H041_489	8245	9115	2316	6994	506	446	587	301	179	660	1629	2328	1055
H041_490	2277	4913	3259	4101	1869	2531	3506	2083	1818	382	1298	1941	484
H041_491	16317	28646	14424	22215	18021	15618	24350	14264	13583	3146	7104	11540	4379
H041_492	868	2379	947	1489	241	241	303	234	208	96	235	400	118
H041_493	11251	17069	9216	15651	4632	4947	6318	5799	4134	1276	4026	6812	1846
H041_494	2044	3301	1622	3404	515	546	960	691	593	177	471	815	324
H041_495	317	602	307	559	244	210	340	200	155	99	141	182	95
H041_496	659	1363	797	1333	318	477	855	182	293	112	276	243	120
H041_497	63	127	152	103	56	49	169	23	40	15	30	28	24
H041_498	3651	4746	2840	4285	1193	1745	2434	1730	1122	420	1426	2025	466
H041_499	624	802	295	875	214	303	330	294	184	91	204	258	115
H041_5	5508	5479	2836	5372	1771	1445	2049	1580	1113	452	1145	1794	614
H041_50	8728	17888	9870	11693	4966	4842	8392	3427	3161	961	3329	4134	1040
H041_500	10	28	14	35	4	5	6	2	7	4	8	7	3
H041_501	6774	27282	8605	26597	1325	1694	2540	1037	1821	1174	3937	5476	3164
H041_502	178407	292428	158653	293394	53368	63799	102892	70162	76593	15779	76908	129571	21631
H041_503	12043	24841	14822	31694	5852	7661	9932	4767	6898	1561	8787	9837	2374
H041_504	15424	10476	4153	8854	625	315	985	169	244	1393	1565	1703	2872
H041_505	5004	6883	2965	6332	1306	779	1566	555	742	538	889	1011	997
H041_506	1100	2251	1007	1680	799	629	1108	496	461	271	666	866	439
H041_507	677	1187	500	884	479	372	572	341	250	211	390	652	345
H041_508	736	808	612	755	157	163	218	171	90	100	245	386	148
H041_509	606	487	309	617	121	138	156	170	84	58	232	383	108
H041_51	711	1467	737	1467	802	694	1209	775	414	163	477	886	198
H041_510	339	1224	391	897	470	359	510	491	407	81	238	389	90
H041_511	656	1652	926	1008	234	414	500	346	259	99	391	560	92
H041_512	1136	1796	1224	1785	818	915	1457	856	1025	166	565	888	222
H041_513	13458	39708	12058	44836	6383	5009	9370	6596	7114	1341	4300	8396	2329
H041_514	9610	15566	6088	21112	2257	3090	3469	1795	2231	528	2447	2748	1022
H041_515	1711	3010	2115	2498	914	847	1635	882	683	209	604	975	255
H041_516	5892	7346	3822	6947	1633	2433	2994	1692	1563	496	1833	1792	568
H041_517	823	1215	878	977	691	447	761	413	326	133	243	420	178
H041_518	1479	3196	1652	2959	970	729	1128	753	793	211	423	617	374
H041_519	826	1930	1648	1215	676	995	1842	792	666	144	507	824	180
H041_52	1171	1758	950	1780	885	815	1235	1070	480	211	595	1233	282
H041_520	198	387	246	212	470	375	499	378	283	90	185	352	101
H041_521	621	1380	615	1027	424	314	528	391	315	85	225	470	151
H041_522	536	1287	566	999	280	206	375	161	208	61	151	229	90
H041_523	4327	10106	5692	8130	2868	2526	3195	2639	2111	677	1704	2737	872
H041_524	1978	6216	3803	3920	1522	2018	2734	1470	1110	343	1203	1766	466
H041_525	2189	1961	1317	2271	645	1054	1075	705	472	175	616	834	280
H041_526	2644	1561	1397	1977	424	712	1014	743	367	115	526	847	170
H041_527	2018	2897	1486	2117	705	846	1291	791	556	268	699	1092	363
H041_528	3012	3051	1729	3480	1307	1481	2047	743	717	288	1029	1169	462
H041_529	1187	1160	652	1202	470	348	620	311	246	117	234	367	146
H041_53	3366	5042	2672	4512	1397	1292	1778	2057	903	453	1176	2209	493
H041_530	403	270	137	251	372	369	398	265	140	70	210	368	91
H041_531	2348	2575	1736	2823	916	1001	1361	1028	575	274	771	1402	364
H041_532	3640	5180	2734	4135	1978	1451	2430	1551	1395	383	869	1449	613
H041_533	8	22	15	16	15	10	35	13	13	1	7	8	4
H041_534	85	232	89	171	49	48	67	54	42	10	33	63	10
H041_535	5850	7041	3266	5733	676	940	1063	577	693	201	857	937	279
H041_536	43283	67409	26565	91609	14641	24310	29268	15427	16551	3896	17933	22880	6136
H041_537	21865	45215	18903	44336	8510	9220	13189	9542	7765	2354	9278	15303	3440
H041_538	723	1230	612	1013	1392	933	1480	725	631	220	446	648	316
H041_539	102	93	59	47	471	367	583	298	157	62	99	171	59
H041_54	3637	4582	2237	3665	1377	1294	1553	1871	1014	406	1033	1961	510
H041_540	1382	2696	1138	2530	924	616	773	529	571	248	372	516	287
H041_541	504	644	355	564	871	866	1112	786	598	129	462	764	216
H041_542	31536	29516	21427	31898	10246	10035	13660	10233	8330	6085	10663	15112	6997
H041_543	278	588	506	426	285	297	573	284	216	68	227	311	119
H041_544	17966	56681	21146	43421	251	232	283	294	666	111	1256	2171	125
H041_545	9682	9168	5645	10026	2494	2724	3242	2902	1843	775	3449	5619	1054
H041_546	507	1141	572	1098	343	275	454	273	239	58	149	275	132
H041_547	22775	34906	18641	31799	10123	10773	14720	11584	8148	2432	8453	13378	3217
H041_548	2779	4021	2864	3185	2695	2145	2571	2530	1545	535	1263	2058	714
H041_549	138	238	167	96	770	1363	1421	1040	997	103	559	768	171
H041_55	5678	9211	4788	8064	1453	1665	2051	1774	1063	429	1260	1952	571
H041_550	35	38	24	29	44	46	50	26	29	9	32	31	5
H041_555	2053	4494	2936	2994	1649	2637	3817	1632	1732	414	1414	2046	468
H041_556	781	426	343	246	168	299	347	173	68	44	193	228	34
H041_557	2122	3107	2665	2597	1488	1306	3211	1343	863	318	1542	2357	575
H041_558	524	1012	968	600	650	826	1529	655	689	205	568	798	278
H041_559	6144	13232	5640	10212	1872	2388	3901	1419	1943	930	2358	2660	1458
H041_56	2697	5816	2377	3993	1309	1277	1761	1522	1262	291	839	1382	397
H041_560	2181	1538	1064	1681	331	554	703	308	223	109	388	413	119
H041_561	4775	5011	2957	4923	812	1037	1528	663	557	283	986	1260	389
H041_562	906	2235	1748	1604	602	1060	1320	876	652	127	688	1040	230
H041_563	3325	5286	2804	4443	2044	1974	2518	2087	1946	421	1176	1863	596
H041_564	24592	18481	11889	14012	15920	19013	24904	19361	12798	3413	9473	15125	4245
H041_565	943	1777	1044	1631	453	555	769	420	430	121	413	545	196
H041_566	21291	55163	19758	54770	9196	11325	16182	8798	9990	2373	10332	15479	4555
H041_567	6015	5209	3671	4489	3157	2991	4304	3146	2079	732	2144	3201	1019
H041_568	227	294	190	335	415	365	489	379	219	83	210	341	113
H041_569	2492	7474	4074	5735	1109	1396	2143	1085	903	348	1277	2005	445
H041_57	196	426	250	263	112	153	248	138	129	16	110	255	29
H041_570	1268	2875	2101	2279	450	778	1033	456	389	129	489	729	185
H041_571	227	517	363	407	135	160	336	111	98	57	106	182	34
H041_573	779	824	613	496	407	425	623	207	184	59	199	283	63
H041_574	425	846	428	884	272	271	418	166	241	78	230	210	86
H041_575	117	233	139	182	142	69	184	91	110	25	75	101	32
H041_576	1231	2239	1057	2177	677	553	926	611	606	126	411	701	217
H041_577	6308	16730	6864	16033	5842	5499	8211	6054	5077	1392	4062	6666	2201
H041_578	4875	11181	4698	7961	6636	4703	7396	6175	4747	1355	3244	5630	2027
H041_579	3739	8535	4351	5838	3895	2974	6030	3135	3030	782	1786	3258	1029
H041_58	185	522	291	308	125	145	262	190	108	28	130	267	48
H041_580	5268	9360	4940	9006	6479	5595	7651	6281	4028	1397	3747	6557	1821
H041_581	5952	7520	4029	8304	5825	4297	6138	5244	3000	1061	2906	5216	1644
H041_582	23304	31375	20106	31822	7784	7981	10863	9309	5609	2162	7057	11420	2854
H041_583	2557	4331	2303	4574	911	747	1258	1017	643	233	987	1542	463
H041_584	2689	4793	2634	4779	1411	1539	2257	1651	1000	413	1843	3274	662
H041_585	2802	4898	1965	6147	323	586	602	550	410	189	1075	1329	251
H041_586	689	1522	524	991	358	352	539	465	441	137	392	618	145
H041_587	1957	4136	1844	4168	668	792	1122	836	626	229	862	1604	355
H041_588	2673	7096	3443	4959	2351	1780	2689	1964	1751	567	1327	2131	872
H041_589	1368	4082	1598	3572	1751	1119	1582	1342	967	310	829	1503	569
H041_59	836	2030	1276	1382	314	544	838	479	312	80	417	648	139
H041_590	22937	31725	18730	27660	6718	7858	10563	9697	5786	1846	6052	9929	2572
H041_591	818	1915	770	1598	1015	864	1241	938	715	202	581	898	247
H041_592	1472	1809	1138	2044	1155	1133	1315	746	634	226	612	830	234
H041_593	600745	944121	436381	967645	203198	236776	338701	178544	192091	60688	159106	256015	92698
H041_594	9630	19198	8089	17315	3515	3523	4814	4379	4014	1024	3492	6156	1929
H041_595	451	704	657	531	91	59	205	54	74	30	44	71	62
H041_596	14941	32016	11459	32083	3135	2652	3821	3344	4544	1257	2621	4494	2238
H041_597	574	2514	565	1326	445	301	631	560	1227	67	178	462	118
H041_598	430	1722	418	923	1443	864	1299	1278	2487	198	302	757	302
H041_599	1598	2635	1225	2275	549	558	730	601	369	145	390	645	170
H041_6	4777	7834	4400	6697	3266	2350	3470	3419	2337	744	1496	2880	994
H041_60	37	145	69	54	25	57	69	59	55	6	26	62	10
H041_600	1166	1166	754	1310	367	378	506	160	252	112	208	243	120
H041_601	0	1	1	0	1	0	1	0	1	0	0	0	0
H041_602	0	0	0	0	0	0	0	0	0	0	0	0	0
H041_603	0	1	0	0	0	0	0	0	0	0	0	0	0
H041_604	0	0	0	0	0	0	0	0	0	0	0	0	0
H041_605	0	0	0	0	0	0	0	0	0	0	0	0	0
H041_606	0	0	0	0	0	0	0	0	0	0	0	0	0
H041_607	0	0	0	0	0	0	0	0	0	0	0	0	0
H041_608	0	0	0	0	0	0	0	0	0	0	0	0	0
H041_609	0	0	0	0	0	0	0	0	0	0	0	0	0
H041_61	178	634	394	610	128	301	437	134	200	33	178	200	60
H041_610	0	0	0	0	0	0	0	0	0	0	0	0	0
H041_611	1528	3068	1442	2216	2253	1807	2164	1952	1976	581	1286	1948	835
H041_612	1725	2936	2018	2289	1613	1119	2078	1104	1140	488	950	1420	622
H041_613	3595	7896	5093	6688	2647	2296	4143	1570	2221	755	1555	1979	1218
H041_615	30	77	30	52	10	2	3	1	5	2	4	7	2
H041_616	40	104	60	54	27	6	36	8	9	9	6	16	6
H041_617	456	1065	568	683	218	99	200	98	76	51	91	155	77
H041_618	10	31	24	21	8	3	15	14	1	2	6	11	0
H041_619	29	80	37	55	16	18	29	16	5	6	14	20	3
H041_62	817	1409	1352	619	341	358	1333	335	251	91	220	349	126
H041_620	22	44	34	26	16	5	17	3	4	2	10	6	5
H041_621	281	500	274	438	100	77	171	47	52	26	79	87	38
H041_622	0	3	1	7	2	1	3	0	1	0	3	0	1
H041_623	37	100	81	78	30	19	48	13	7	8	13	15	7
H041_624	114	255	125	204	45	46	66	25	26	25	27	31	9
H041_625	48	171	199	75	35	9	91	9	4	5	10	6	3
H041_626	308	827	287	494	144	54	124	40	40	48	66	71	36
H041_627	13	45	22	31	3	7	15	1	2	2	3	4	3
H041_628	108	325	158	218	21	20	44	15	18	3	30	36	11
H041_629	14020	20075	9427	19135	8739	8854	11516	6148	7850	1578	4965	8235	2243
H041_63	1353	2245	1774	1369	466	344	1206	216	336	100	327	265	229
H041_630	11773	23889	11079	24479	5282	4730	6174	4032	3242	1021	3784	6030	1578
H041_631	403	953	466	655	160	136	171	163	103	43	132	270	53
H041_632	673	1260	585	1043	170	203	219	157	133	65	140	257	69
H041_633	1827	2838	1324	2960	262	234	354	180	172	82	241	324	116
H041_634	34	94	41	36	13	9	11	4	2	2	14	12	1
H041_635	219	545	149	304	94	51	80	53	41	39	56	94	34
H041_636	140	360	115	173	105	41	67	35	33	24	48	67	8
H041_637	85	429	53	223	57	29	38	43	39	35	46	78	18
H041_638	28	38	13	28	31	6	8	7	6	5	9	16	6
H041_639	0	0	0	0	0	0	0	0	0	0	0	0	0
H041_64	12701	16876	13474	12190	6528	7913	14129	7778	7235	1928	5794	8164	2832
H041_640	7	5	2	2	9	7	7	3	1	2	10	11	0
H041_641	58	229	180	121	12	27	47	19	14	2	31	34	1
H041_642	9277	26592	11794	24478	1394	1943	2934	1410	1636	465	2711	3932	1360
H041_643	9072	15828	5716	11186	14616	11795	15768	11244	10393	2022	5777	8932	2675
H041_644	30	112	51	103	107	65	112	51	55	25	51	38	20
H041_645	319	1074	329	622	454	267	400	228	150	143	169	254	94
H041_646	79	398	105	242	49	76	121	59	35	14	44	96	12
H041_647	180	631	195	389	255	108	210	136	62	91	132	173	50
H041_648	191	799	176	426	346	124	192	136	71	120	113	156	63
H041_649	14	75	22	47	39	4	29	11	8	18	11	11	7
H041_65	1413	2636	1392	1653	1118	1436	2060	1203	1344	306	1034	1352	595
H041_650	26	133	36	66	72	21	50	25	18	22	21	31	13
H041_651	32	192	51	150	107	21	57	17	27	22	12	50	27
H041_652	24	89	44	76	41	28	57	23	15	12	19	20	9
H041_653	82	317	97	191	150	35	84	40	42	39	41	81	28
H041_654	41	92	41	76	44	10	47	15	8	24	15	27	10
H041_655	3	11	15	7	12	2	6	0	0	1	3	3	1
H041_656	46	144	32	69	80	25	66	18	20	14	19	19	18
H041_657	31	130	43	96	58	33	60	18	20	8	27	40	12
H041_658	13	69	37	32	33	20	29	13	2	15	13	8	4
H041_659	11455	18862	8443	18880	3334	2935	3674	2636	2533	968	2364	3424	1128
H041_66	5	17	13	3	5	4	16	7	6	0	3	2	2
H041_660	448	1470	526	1119	770	327	501	256	203	230	271	497	136
H041_661	138	321	131	245	33	30	29	19	19	14	31	39	11
H041_662	9	60	34	57	20	15	13	11	11	4	13	14	6
H041_663	12	38	14	30	10	4	21	4	7	0	8	6	3
H041_664	13	44	25	40	20	12	18	5	14	11	8	10	6
H041_665	2454	3763	2448	3181	1334	1175	1738	971	820	263	840	1165	456
H041_666	1206	1423	1638	1332	283	243	1181	57	163	92	174	95	111
H041_667	122	282	113	235	81	66	79	38	45	17	50	86	27
H041_668	27	35	17	45	16	7	21	8	7	8	8	14	8
H041_669	9	24	12	23	30	6	19	7	13	5	7	14	0
H041_67	39	78	118	44	49	82	262	57	61	8	60	92	13
H041_670	200	569	218	345	183	100	184	108	63	53	104	192	41
H041_671	3373	8093	3198	7900	6878	7070	8650	3953	6057	975	3619	5207	1484
H041_672	1834	3633	1899	3236	650	705	1070	679	600	153	504	723	198
H041_673	9436	31569	9357	34046	5537	5014	6479	4058	4030	958	5989	8885	1503
H041_674	126	491	58	424	115	101	99	87	101	20	69	124	41
H041_675	898	2099	1009	1698	387	471	671	384	352	113	403	589	110
H041_676	2699	3398	1767	3319	1852	1437	1920	1497	1336	404	1001	1549	634
H041_677	465	732	462	743	392	313	402	273	220	95	291	509	147
H041_678	278	349	210	360	192	154	187	195	70	45	159	195	45
H041_679	614	1194	719	1079	351	335	466	300	234	68	184	366	93
H041_68	167	268	246	190	207	206	305	146	189	37	128	179	75
H041_680	45	53	39	33	28	51	77	38	34	6	18	25	3
H041_681	18	44	35	14	17	25	27	20	15	7	14	12	5
H041_682	1169	2179	1231	2827	556	569	865	451	328	154	404	506	163
H041_683	2232	5427	2037	4060	1746	2607	2802	2218	1818	498	1626	2444	510
H041_684	4101	6039	3459	5133	2112	2062	2852	2163	1406	528	1412	2844	673
H041_685	115	291	177	141	54	55	116	54	33	18	28	54	15
H041_686	1087	3310	1448	2480	689	1048	1595	977	850	183	874	1411	234
H041_687	525	1131	570	836	490	321	547	352	293	115	211	391	170
H041_688	555	1143	649	903	459	460	759	309	306	109	333	479	158
H041_689	1632	2465	1341	2221	1069	904	1266	1240	727	254	824	1616	426
H041_69	2102	4703	3076	3431	2183	2886	3787	2143	2328	423	1595	2730	849
H041_690	501	736	451	671	571	447	641	434	332	135	329	591	176
H041_691	660	908	458	607	1827	1352	1481	1721	1074	291	554	1088	381
H041_692	1058	1783	1029	1265	1808	1186	1553	1342	1065	245	373	664	286
H041_693	3138	4119	2429	4315	2684	2409	3302	2325	1879	543	1697	2538	816
H041_694	2683	4836	2595	4917	1245	806	1251	916	831	354	710	1335	525
H041_695	1626	2526	1524	2477	1118	805	1275	757	583	240	623	956	336
H041_696	701	1247	744	929	307	461	622	330	336	74	360	451	120
H041_697	601	1274	960	766	183	333	524	274	132	45	270	437	55
H041_698	633	1688	956	1047	333	478	787	474	282	97	366	606	114
H041_699	526	765	381	680	342	365	509	289	208	81	208	373	109
H041_7	5976	12077	6012	9624	4416	3126	4924	3753	3219	904	1902	3328	1265
H041_70	8668	16378	9844	14177	8551	8860	20840	5809	8749	1621	4285	5470	2834
H041_700	2438	5586	1995	4845	567	529	749	601	689	234	623	1325	342
H041_701	393	799	333	643	215	190	280	170	172	62	156	289	116
