"D55_H041_T1_20190110"	"D55_H041_T1_20180201"	"D60_H041_T1_20180208"	"D6_H041_T1_20180131"	"D55_PMN_H041_T0_20180201"	"D55_PMN_H041_T0_20190110"	"D60_PMN_H041_T0_20180208"	"D60_PMN_H041_T0_20181212"	"D6_PMN_H041_T0_20180131"	"D55_PMN_H041_T1_20180201"	"D55_PMN_H041_T1_20190110"	"D60_PMN_H041_T1_20181212"	"D6_PMN_H041_T1_20180131"	"D55_130_T1_20181106"	"D55_130_T1_20180201"	"D60_130_T1_20181113"	"D60_130_T1_20180208"	"D6_130_T1_20181108"	"D6_130_T1_20180131"	"D55_PMN_130_T0_20180201"	"D55_PMN_130_T0_20181106"	"D60_PMN_130_T0_20180208"	"D60_PMN_130_T0_20181113"	"D6_PMN_130_T0_20180131"	"D6_PMN_130_T0_20181108"	"D55_PMN_130_T1_20180201"	"D55_PMN_130_T1_20181106"	"D60_PMN_130_T1_20180208"	"D6_PMN_130_T1_20180131"	"D6_PMN_130_T1_20181108"	"D55_3X130_T1_20190129"	"D55_3X130_T1_20180201"	"D60_3X130_T1_20190305"	"D60_3X130_T1_20180208"	"D6_3X130_T1_20180802"	"D55_PMN_3X130_T0_20180201"	"D55_PMN_3X130_T0_20190129"	"D60_PMN_3X130_T0_20180208"	"D60_PMN_3X130_T0_20190305"	"D6_PMN_3X130_T0_20180802"	"D6_PMN_3X130_T0_20190307"	"D55_PMN_3X130_T1_20190129"	"D60_PMN_3X130_T1_20180208"	"D60_PMN_3X130_T1_20190305"	"D6_PMN_3X130_T1_20180802"	"D6_PMN_3X130_T1_20190307"
"NGO0020"	8.27262301631365	9.44360026745611	9.63270915864995	9.57380053418983	8.62507779171358	9.77870456899307	9.47185548995071	8.74606374395715	9.09122550549002	8.57506827677092	8.98586476244958	8.93896842009798	8.38536827078015	8.75344026654205	9.55952431369577	8.82047044448227	9.29971866773528	8.9204527590955	9.64669624960071	8.7203781926288	8.68813852308994	9.11835012152491	9.11960032095962	8.43413141166996	8.43793069624659	8.45159489488278	7.90613921956544	8.86729578937433	8.72586116966379	8.2893480865984	8.34486073614364	9.28506456147847	8.40477962910287	8.84872538920727	9.59922839721765	8.97747300213148	8.75450055169883	8.08484918050941	8.52253556076217	8.92387229029317	8.5088394013201	8.74276823728785	8.81740119315652	8.90228785779525	8.93593818249653	7.91503239419495
"NGO0021"	6.3665691275763	6.32244430906772	6.07490538393226	6.04167504546	5.63749497080878	5.86354261277468	5.63067268321149	5.8517129672634	5.34946857086874	6.27407178048272	6.20671486999864	6.2861810949204	6.66121213804653	6.41755627891536	6.10027919953277	6.31160161230567	6.31068506396342	6.65969086097748	6.00021995249066	5.90298208652466	5.91340740627197	5.76982404016806	5.87257970918614	6.01221521667042	5.82640331541628	6.06822772177696	6.34921488409575	6.40488978085033	6.23374558367497	6.44911084209035	6.38962693594224	6.20003517372441	6.54081212946173	6.15561561413922	6.59416201863562	6.21162166185252	5.85213443935555	5.72917696044008	5.6674098678723	5.7190302256686	4.90816224494482	6.91842925141751	6.42151824712846	6.30585149278298	6.27233267364683	6.37171839677554
"NGO0022"	6.26594624586559	6.42291539549183	6.20021630608221	6.47464871733905	5.38850142501981	5.53133204913177	5.42169462103301	5.55038657809584	5.72599865076154	6.27407178048272	5.38080898375211	5.6165273296447	6.49343250010752	6.4068494636296	6.40446872672698	6.61223383898007	6.60356987997671	6.58152461636561	6.50967174449224	5.32098021768758	5.440788894623	5.66641486322012	4.90816224494482	5.69812959040853	5.70664272521863	6.17965757582556	5.79173257585214	5.94092885741221	5.7521107549225	6.26451818554747	6.99931695919754	7.28921740753134	7.30507608822204	6.80869536937087	7.68777695344728	5.48805881502911	5.78426040922171	5.76177335020838	5.53042925042344	5.53950804748223	4.90816224494482	6.51633417765169	6.04793024940949	6.71073274719991	6.07266036215637	6.29691764841694
"NGO0023"	6.45878092316046	6.56193449779882	6.37085327549531	6.66870118190267	6.14652881234346	6.15597242394875	6.05495658627524	6.22071547614993	6.05024986652776	6.03656279709126	6.12763788205826	6.2630391158189	6.49343250010752	6.32886981215986	6.32274497159996	6.42088583457765	6.55963646042374	6.30944506677357	6.52686616580662	6.04975780236985	6.11014142994203	5.96882866236076	6.04768779794943	6.1061343280861	6.21126294918278	6.2142193372854	6.30057170339889	6.06429555684064	5.7521107549225	6.74783055800035	6.8444572179782	7.12396056045467	6.79369236659609	6.92102296949438	7.23434498444854	6.45019471640853	5.97336144437801	6.29540361657295	6.19532765597052	6.1429205531664	6.1691479393657	6.81313983000351	6.72527586003497	6.485141179762	6.74697781576793	6.48619110311401
"NGO0025"	7.2367948685608	7.12521145930286	6.62686314718829	7.1252802100665	6.63091367664801	6.21045975517016	6.15448987388547	5.80920622890296	6.7182068819681	7.18640881561986	6.50407909573132	6.16499703796097	7.05960450168549	8.03007985202921	7.66314018642645	8.44489658097142	8.14492963539781	8.77076217291324	7.80904300004076	6.00340531391862	5.71580377169966	5.86095187196456	6.46131509289489	5.86989617557347	5.99383004380049	6.94189875855138	6.74728125958209	7.07369724439286	6.72666287202519	8.68715969619084	9.19403106803071	9.33022234220265	8.46741022995641	8.76907063788062	9.05565352105205	6.62092449941952	6.08021741214774	5.95905993163754	6.14957350361862	6.09317270873817	5.89684676205031	9.17587152457033	8.27037698849158	8.62319734550192	8.63085444118012	6.92001772730507
"NGO0026"	11.1076594888434	11.5352326488054	11.4089554349546	11.480765104342	10.9282829038139	11.0299362390417	10.825819098498	11.2573033864334	10.8625045443768	11.4128415457034	11.8571385593223	12.0422909177072	11.2932203093216	10.9071936591696	11.3086992734862	10.8487469601007	11.2073102047241	11.119721907098	11.3605606343736	10.9358996940782	11.6587674493981	10.7809483829661	11.151591618667	11.4217071018387	10.9703628224052	11.6075716712904	11.1054862895884	11.1272155353532	11.4209411680621	11.0405569050206	10.699463957157	11.0637413864346	10.7426339900349	10.923715322009	11.1281361698906	10.7439080996898	10.7343918405287	10.8944272413173	10.1762298886278	10.9108942608447	10.1586734493782	11.2850326300593	10.9976937798598	11.2308135425242	11.4425523474858	11.278708345845
"NGO0027"	10.5321662525522	10.2543470331774	10.2308918259112	10.5391962825825	10.257271765601	10.2214390032402	10.1198645059972	10.4410760815115	9.62209606472132	10.4978194763669	10.5816531255666	10.9263287320225	10.2771372346883	10.2046910431317	9.98077117237029	10.0148898094968	10.3116650078776	10.1951072139212	10.1911941702172	10.2372515809354	10.6593324352556	10.0588325367337	10.4316265372104	10.5141047976268	10.4064436075592	10.6726983204442	10.1822988425668	10.3442112943759	10.1363025972821	10.3487652887033	10.2007906805019	9.9896507991211	10.3345740053151	9.74343350915185	10.1672972434228	10.2792304976922	10.4403786229967	9.99999577507053	9.62363793647876	10.173387225409	10.1211516672458	10.5023951350755	10.4977383407263	10.4076580665102	10.4570560053426	10.0285581502163
"NGO0028"	9.05876292744976	8.08930568718851	8.56203705065327	8.44614404342069	7.87890726070954	7.74941453215096	8.29468020564943	7.48900491660176	7.21773230280436	8.09890527854114	8.05746476724201	8.04123683565378	8.09650016226545	8.63728616350715	7.86684451061864	8.38326622578624	8.58433121179499	8.529473871865	7.98017608747484	7.95326989671117	7.16443514363389	7.99500981429079	7.53255821338481	7.78762265884095	7.69104510833931	8.15548097939556	7.31244847037265	8.38156999672451	7.56764787818661	7.541482966913	9.1364542603944	7.93062706690244	9.12865279897265	8.4522103740523	7.85142152130758	8.26626606414986	8.57794660714581	7.67106398584221	7.41856503800813	7.14274495993971	7.77104193612616	8.21474341913826	8.49253008865138	8.22482191831504	7.44833166669656	7.38906068286086
"NGO0029"	11.5721734357916	11.0869270271302	11.1522033950686	11.3664432244432	10.3884738001434	10.3440432566295	10.0239530896264	10.4523367326799	10.0109544289675	10.8282104690587	10.6164469307941	10.5195863763284	10.9159046935205	10.8564008054428	10.9390355857586	10.7944627197255	10.5665432786269	11.1481832793168	11.0357243735326	10.1190491746154	10.5652120728405	9.71679933948876	10.2190119031328	10.3361738288466	10.1980905941891	10.4953549828397	10.3877990082002	10.0556725326179	10.1932791666442	10.6544251528505	11.0891215178438	11.0995825809007	11.4284829481479	11.0658524256766	11.0304871564311	10.0462242043199	10.2817353796539	9.63598916406603	9.54351957381124	9.75379496787156	9.62494346941	10.4160161615105	10.3234366837315	10.3054071485312	10.3027959596989	10.0982689981785
"NGO0030"	10.1599012769132	9.79613848305916	9.95641999199102	9.9548844511664	10.4987035814273	9.73886124956437	9.85198715542583	10.0625915531047	9.58794982489444	10.4031543194338	9.82615290091753	9.85375573256014	10.1127982702169	10.0138386689316	9.54252436862028	9.77082256616977	9.96554999366381	9.80282276785337	9.54756090195488	10.0711285706345	10.2555736123361	9.53536500648779	9.63834809273992	10.2264605671608	9.65346538870718	10.0852112742587	9.70584772707308	9.88146068145036	9.5890761974315	9.81599205145111	9.82788031307426	9.42567103093554	9.95996206371986	9.53568454334767	9.47591136542697	10.151918127549	9.92416364469773	9.52445065707607	9.18570248760148	9.27266548226024	9.60013737715321	9.50492655335163	9.98452044302421	9.34662654414691	9.57550087645805	9.29221704767055
"NGO0031"	8.18321284936126	7.78568191106641	8.17632954228313	7.85357514906384	8.79920908125866	7.86865223420233	8.21398263769034	8.40634170067377	7.82905525986547	8.69831242719629	7.78246303843448	7.8669173354898	8.74292518080359	8.3841246525134	7.58042681977546	7.98938836397669	8.38919663126123	9.07338799958822	7.3993060519532	8.45625299040089	9.69260752929063	8.21530527548029	8.00732063069465	9.05047871660961	8.27515033549575	8.35092932403072	8.31583672703152	8.60966430344947	7.78515057934195	8.24641887637335	8.57896533346705	7.35577318544899	8.51667785957175	7.78687502586382	7.2410621351095	8.48165610862993	8.92301644008089	8.04855981708241	7.70677084882589	7.4484492974018	8.41831649536809	8.18319276868772	8.531787658345	8.02599137437038	7.81614408551244	8.09292764275959
"NGO0032"	10.9999176364627	10.3220213933728	10.512400052405	10.5452044555708	10.7398661137031	11.1797347580959	10.9284550967226	10.5672755496378	10.4263199557008	10.4537520712414	11.0057317131465	10.4934165764583	10.5806243813481	10.9682677165122	10.2804711351245	10.9383131848679	10.8366158648684	10.8969308009025	10.1632265554316	10.7107260508971	10.4546146425125	11.0191005841118	10.758943134324	10.5512000251551	10.7429794740454	10.4687793857701	10.9997385776026	10.8223224141032	10.6694267173481	10.6509344975048	10.9240877793192	10.1750753935701	11.1769421145352	10.5824237190775	10.3328113544249	10.9492475838576	11.1989082166593	10.4747134834651	10.748106237506	10.4930675168672	10.8376513786309	10.6061411238942	10.8716302466554	10.6194660208054	10.2885678222149	10.1677807277845
"NGO0033"	8.92715451396599	8.75519944405306	8.7472091852162	9.00340772902087	9.79390312127291	9.34523548910907	9.27776866858059	9.24463074201074	9.48607708152521	9.15627013394799	8.96717278727068	8.8188868322306	9.28233708672053	8.18249690443971	8.56768365728635	8.37800756714065	8.37774177963469	7.67770625061029	8.34422095247008	8.26659406054884	7.49681694593464	8.2027628686434	8.29830610390784	7.97412277050314	8.44231803275262	8.34439425130477	7.87018388938391	8.02212304053237	8.16218001378823	8.15644121294095	8.16773931810618	8.51074721619793	8.59772503827439	8.44900976997896	8.90684744514074	8.07563235584954	8.17536153333749	8.31186924533916	8.42597143688806	8.79640759312362	7.43773262101417	8.19905616068347	7.93968370016589	7.7739772329438	8.42813976585094	7.99306369721413
"NGO0034"	13.668199196378	13.607312068229	13.4096888769958	13.7009119205794	12.4807832002232	12.5797868377815	12.5028310179814	12.4843929547358	12.6831371546966	12.8530049922972	12.8174885257796	12.6942905521049	12.5748620565005	12.9359783065975	12.8620124953091	12.913836269213	12.8654795140993	12.4384665644567	13.1973766829638	11.5313873618869	11.3909320560266	12.3108453960651	11.69721682694	11.6860022313106	11.8371282215092	12.5468710319411	12.0680453573201	12.2472062543874	12.3812889530199	12.5548758217181	12.8999418817132	13.1655054555076	13.2947524033408	13.0687280437157	13.1913636325844	11.6615109756311	11.4083642894903	12.1987034832155	11.5164183976743	12.1438874077498	11.4444518488077	12.0812819442123	12.4539531794698	12.247597978337	12.418349013285	12.3519899997953
"NGO0035"	9.33388219889917	9.20082476916466	9.13376681284862	9.19182696230967	9.34659980065778	9.0761578530393	9.18145306097592	9.06348777960536	9.22387840369916	9.05476614177602	8.87990144845366	8.80528013267966	8.76533798440219	9.23513723198314	9.17327422278773	9.32748226458269	9.35496349102392	9.65614998594274	8.86498727363883	9.04619782702079	9.44338244839745	9.61571645530697	8.81838921987413	9.5146150442743	8.97370497624678	9.21792935636318	9.08145783370599	9.02734582511542	9.05270954844829	9.37679654141285	8.92484107604014	8.96920971449151	9.6085884290448	9.08273666495817	9.4186236952464	9.37390586017127	8.49994815588486	9.04171065694234	8.6059365596528	9.05422749262683	8.90603024177474	8.75881977933699	9.20396605134597	9.21941344632638	9.31935617694151	8.93182079835439
