"D55_H041_T1_20190110"	"D55_H041_T1_20180201"	"D60_H041_T1_20180208"	"D6_H041_T1_20180131"	"D55_PMN_H041_T0_20180201"	"D55_PMN_H041_T0_20190110"	"D60_PMN_H041_T0_20180208"	"D60_PMN_H041_T0_20181212"	"D6_PMN_H041_T0_20180131"	"D55_PMN_H041_T1_20180201"	"D55_PMN_H041_T1_20190110"	"D60_PMN_H041_T1_20181212"	"D6_PMN_H041_T1_20180131"
"H041_1021"	9.79982483956648	10.2205754742438	9.6543891738557	10.3680575725992	10.5374334112154	10.1345523605213	10.1295336131824	10.4775511512384	10.2776048339402	10.5369913159731	10.5280728602491	10.7877914071397	10.5795651556915
"H041_1022"	11.2063061925716	11.3236395212947	10.9269949792492	11.4687279436725	11.269559404394	10.9412069140537	11.0007333528316	11.5684931215343	10.9752376684561	11.2653207887369	11.5716926377912	11.9728526684321	11.4273783821538
"H041_1023"	7.50219147541824	7.19824019364542	7.4155350464156	7.4138770847478	8.20124173223869	8.04822884455103	8.40890473813512	8.463217572802	7.83466440631597	7.75592610109754	8.75367435278613	8.89901358758519	8.26882256868417
"H041_1024"	7.65608274042785	7.17414232623671	7.35832209957682	6.97932702482568	8.96673582465703	8.44706908481631	8.9412647954545	7.73794934998463	8.24218480165398	8.52128579683727	8.6033752819043	8.15467031585539	8.45625824398565
"H041_1025"	7.16373243843548	6.8373656237081	7.1234871697364	6.66080258852246	10.3573225709863	9.03697035917943	9.67502522020009	9.58776351969261	9.08511261034941	9.63997883322247	8.66225317417486	8.87559448600404	9.81854594442853
"H041_1026"	8.61304757326358	8.15015490525688	8.43389884727711	8.07048173171971	8.3762367660595	8.49246968440503	8.44863746442554	8.01454327389272	7.81046471862452	8.36017741634299	8.06601964273435	7.96713136045369	7.71669844936283
"H041_1027"	5.71518876545303	5.92051714717049	5.14662852857203	5.29219501221896	6.57739970904639	6.50291767773682	6.2346436847921	6.40626894201543	6.68586642930713	6.60938638997871	5.72018862396739	6.08996404493113	6.41846459136497
"H041_1028"	6.34256288380957	6.4597553369879	6.8057109477791	6.31248267046254	7.27990709015945	6.66262529956646	7.03508786092847	7.22187335249975	6.93615837592152	6.9065092478041	6.11716196150774	6.50514029219645	6.71074632362468
"H041_1029"	6.0702692712716	6.11507221175076	5.92785678337393	6.07997233901961	7.39418605484487	6.55290879856943	6.92394151212969	6.59027441923609	6.82511641795415	6.46894048902276	6.15029953091457	6.21760841214919	6.75372783048161
"H041_103"	11.5126939884812	11.134801146956	11.3405005581123	11.17119064039	11.2633175549471	11.3966240653925	11.199869530138	11.3421345008122	11.1107676040059	11.036480587368	11.5206782451389	11.3848739543106	10.9295644789708
"H041_1030"	5.84651387622042	5.92969169921784	6.0605001812788	6.48126057633696	7.27071560545816	6.76393784830516	6.6797880588376	7.0131463711079	7.17330024468075	6.67434179025589	6.18255430212707	6.64246812978788	6.79537091932124
"H041_1031"	7.6952936765035	7.26486870527927	7.59425261185255	6.94580811543978	8.64850553067239	8.8907606251867	8.58471775188874	8.886660567128	8.30103466990223	8.41591850013216	7.91509684238803	8.13501017759501	8.36560702755828
"H041_1032"	7.60204740130692	7.07331154505737	7.14408263024706	7.18128442912295	8.91835528979736	8.6464058047105	8.75945422500239	8.95501768734934	8.34643058950063	7.78459243731855	8.30700644588068	8.15954331827709	8.29715003025429
"H041_1033"	9.70368050208945	10.1274969860112	9.82838175709419	9.91088669119301	9.92567490370927	9.80339994464662	9.90087581148254	10.0424111365067	10.1302723931279	9.50130674510439	9.46791593888038	9.62639064595071	9.89437532662389
"H041_1034"	13.2300773649968	12.9983702169765	13.3427895538871	12.9106138358519	12.5991420193362	12.7630826072741	12.7550364517022	12.7384562524702	12.6923185181028	12.4297664534807	12.5631620881527	12.52865816338	12.5852803201126
