"130+PMN_1h_vs_130_1h"	"130+PMN_1h_vs_130+PMN_0h"	"3X130+PMN_1h_vs_3X130_1h"	"3X130+PMN_1h_vs_3X130+PMN_0h"
"Opaless3X_2027"	0	0	1	0
"Opaless3X_2028"	0	0	0	1
"Opaless3X_2035"	1	0	0	0
"Opaless3X_2036"	0	0	1	0
"Opaless3X_2037"	1	0	1	0
"Opaless3X_2039"	0	0	0	1
"Opaless3X_204"	1	0	1	1
"Opaless3X_2043"	0	0	0	1
"Opaless3X_2044"	1	1	1	1
"Opaless3X_2045"	1	1	1	0
"Opaless3X_2048"	1	0	0	0
"Opaless3X_2053"	0	0	1	0
"Opaless3X_2057"	1	0	1	0
"Opaless3X_2058"	1	1	1	1
"Opaless3X_2061"	0	0	1	0
"Opaless3X_2063"	0	0	1	0
"Opaless3X_2066"	0	1	0	1
"Opaless3X_2067"	0	0	1	0
"Opaless3X_207"	1	0	0	0
"Opaless3X_2076"	0	0	0	1
"Opaless3X_2077"	0	0	1	0
"Opaless3X_2081"	0	0	1	0
"Opaless3X_2086"	1	0	1	0
"Opaless3X_2088"	0	0	1	0
"Opaless3X_2094"	1	0	1	0
"Opaless3X_2095"	0	0	0	1
"Opaless3X_2096"	1	0	1	0
"Opaless3X_2102"	0	0	1	0
"Opaless3X_2103"	1	0	0	0
"Opaless3X_2128"	0	1	0	1
"Opaless3X_2133"	1	0	1	0
"Opaless3X_2143"	1	0	0	1
"Opaless3X_2144"	0	1	0	1
"Opaless3X_2149"	0	0	1	0
"Opaless3X_2157"	0	0	1	0
"Opaless3X_2160"	1	0	0	0
"Opaless3X_2164"	0	0	1	0
"Opaless3X_2166"	0	1	0	1
"Opaless3X_2170"	0	0	0	1
"Opaless3X_2177"	1	0	1	0
"Opaless3X_2185"	0	0	1	0
"Opaless3X_2188"	0	0	0	1
"Opaless3X_2189"	0	0	1	0
"Opaless3X_221"	0	1	0	1
"Opaless3X_226"	0	0	1	0
"Opaless3X_23"	0	0	1	0
"Opaless3X_230"	0	0	0	1
"Opaless3X_231"	0	0	0	1
"Opaless3X_250"	0	0	1	0
"Opaless3X_251"	0	0	1	0
"Opaless3X_252"	1	0	1	0
"Opaless3X_255"	0	0	1	0
"Opaless3X_256"	0	0	1	0
"Opaless3X_257"	0	0	1	0
"Opaless3X_258"	0	0	1	0
"Opaless3X_260"	0	0	1	0
"Opaless3X_262"	0	0	1	0
"Opaless3X_265"	0	0	0	1
"Opaless3X_266"	1	0	1	1
"Opaless3X_267"	1	0	1	1
"Opaless3X_271"	0	0	1	0
"Opaless3X_277"	1	0	1	0
"Opaless3X_282"	0	0	1	0
"Opaless3X_283"	1	0	1	1
"Opaless3X_291"	1	0	0	0
"Opaless3X_292"	1	0	0	0
"Opaless3X_297"	0	0	0	1
"Opaless3X_30"	0	0	1	0
"Opaless3X_300"	0	0	0	1
"Opaless3X_301"	0	0	0	1
"Opaless3X_312"	0	0	1	0
"Opaless3X_313"	1	0	1	0
"Opaless3X_315"	0	0	1	0
"Opaless3X_316"	0	0	1	0
"Opaless3X_320"	1	0	1	0
"Opaless3X_327"	0	0	1	0
"Opaless3X_330"	1	0	1	0
"Opaless3X_334"	1	0	1	0
"Opaless3X_342"	1	0	1	0
"Opaless3X_343"	1	0	1	0
"Opaless3X_350"	1	0	1	0
"Opaless3X_351"	0	0	1	0
"Opaless3X_358"	0	1	0	0
"Opaless3X_365"	1	0	0	0
"Opaless3X_37"	1	0	0	0
"Opaless3X_377"	1	0	1	0
"Opaless3X_392"	1	0	1	0
"Opaless3X_398"	0	0	1	0
"Opaless3X_414"	0	0	1	0
"Opaless3X_415"	1	0	1	0
"Opaless3X_418"	0	0	1	1
"Opaless3X_421"	0	0	0	1
"Opaless3X_423"	0	0	0	1
"Opaless3X_428"	0	1	0	0
"Opaless3X_440"	0	0	1	1
"Opaless3X_442"	1	0	1	0
"Opaless3X_443"	1	0	0	0
"Opaless3X_444"	0	0	0	1
"Opaless3X_445"	0	0	0	1
"Opaless3X_457"	0	0	0	1
"Opaless3X_458"	0	0	0	1
"Opaless3X_459"	0	0	1	1
"Opaless3X_46"	0	1	0	1
"Opaless3X_460"	0	0	0	1
"Opaless3X_461"	0	0	0	1
"Opaless3X_467"	1	0	1	0
"Opaless3X_475"	0	0	1	0
"Opaless3X_478"	0	0	1	0
