"D55_130_T1_20181106"	"D55_130_T1_20180201"	"D60_130_T1_20181113"	"D60_130_T1_20180208"	"D6_130_T1_20181108"	"D6_130_T1_20180131"	"D55_PMN_130_T0_20180201"	"D55_PMN_130_T0_20181106"	"D60_PMN_130_T0_20180208"	"D60_PMN_130_T0_20181113"	"D6_PMN_130_T0_20180131"	"D6_PMN_130_T0_20181108"	"D55_PMN_130_T1_20180201"	"D55_PMN_130_T1_20181106"	"D60_PMN_130_T1_20180208"	"D6_PMN_130_T1_20180131"	"D6_PMN_130_T1_20181108"	"D55_3X130_T1_20190129"	"D55_3X130_T1_20180201"	"D60_3X130_T1_20190305"	"D60_3X130_T1_20180208"	"D6_3X130_T1_20180802"	"D55_PMN_3X130_T0_20180201"	"D55_PMN_3X130_T0_20190129"	"D60_PMN_3X130_T0_20180208"	"D60_PMN_3X130_T0_20190305"	"D6_PMN_3X130_T0_20180802"	"D6_PMN_3X130_T0_20190307"	"D55_PMN_3X130_T1_20190129"	"D60_PMN_3X130_T1_20180208"	"D60_PMN_3X130_T1_20190305"	"D6_PMN_3X130_T1_20180802"	"D6_PMN_3X130_T1_20190307"
"Opaless3X_1009"	8.65556995223896	7.86597422464545	8.97424673784758	8.79672808530765	8.50338971435785	7.94769950655132	8.27371468444264	7.04981046078905	9.01367671204981	8.16693828700536	8.04219775619966	8.09042570893973	8.18875655877089	8.21763266905971	8.45502400945102	8.86535301394531	8.48881821650488	9.08881408227306	8.07611540220802	9.18090375906494	9.19414398192373	7.78224571842662	9.00295570926893	8.85215393349144	9.03137619111695	8.54575113855775	7.65105759352083	9.0513608426136	9.11314774275978	8.6436112076305	8.77283688297913	7.56785841945159	8.62737195698071
"Opaless3X_101"	7.72275448531017	7.46798074385639	7.8443942552247	6.98389818256743	7.53071474955584	7.00719925900304	7.58841847193976	6.87312797054321	7.51806035352344	7.34836837043666	7.37388969085368	7.15158004154827	6.838097768226	7.87224202613249	7.33785643361973	6.95577375590937	7.03409923969051	8.12765098394735	7.73331677152171	8.11849342482087	7.56768595739629	7.46187183141373	6.9184052865416	8.47657406323848	7.16658669376533	7.60623182081224	6.98744824859953	7.47606430780038	7.83045040966078	6.54900103938718	8.09966482092117	6.41993031554824	8.18325662916385
"Opaless3X_1010"	10.8752438920143	10.5159238920563	10.6617498227642	10.8739691582835	11.1983863871293	10.4586029852235	9.93469456221187	10.6591001206425	10.3406306074961	10.290732133631	10.852802747818	10.061525052056	10.4829324371617	10.2659043109826	10.4625828610571	10.0183091301001	10.4053232422668	11.0008472768477	10.6847896482295	11.3320323370637	11.0284688199605	10.6014780597486	10.1518483288591	9.8234811835211	10.5204520412391	10.0134181176	9.94600662472946	10.254441386927	10.0086293878579	10.5717311724914	10.2681267886772	10.369407133284	9.95859893880663
"Opaless3X_1011"	11.0346289680731	11.2199861132316	11.082082380425	11.183132449664	10.8334323169485	11.1553020843025	11.4460620386892	11.2675388802594	11.3156132006565	11.3757608263133	11.4496980691851	11.1809749607306	11.3140979510491	10.7506971759422	11.0689197342558	11.113451437554	11.2163720510522	10.9877623820226	11.0326359914437	11.1266786941844	11.1059310294142	11.2183768258935	11.27127671274	10.9792904234891	11.4010727654695	11.333537231203	11.4854855519209	11.4737043370662	11.0308922803421	11.0829847155248	11.1045362229678	11.4234936559101	11.0292312197983
"Opaless3X_1012"	13.8837527762148	14.2301008104947	13.8535149717381	13.6065103755392	14.2543905369182	14.672775717578	11.9512283440709	12.5895663351807	13.6747847681969	12.198480915893	13.1615213995152	12.3892739096706	12.9612903732832	13.3913272979217	12.5394685274161	13.1829197345737	14.1544836569055	14.0070813986795	14.6930590016026	14.5601415913813	14.225075527588	14.5342003268692	12.1438070416576	12.0157912685001	12.9832162240912	12.320332869398	12.7167771082509	12.5058591043409	13.1660659298241	13.3202103021549	13.1244752386877	13.578768593816	13.4783439023701
"Opaless3X_1013"	10.9248037983364	10.2008976046823	11.2287297358668	11.9129344862579	11.7640023774742	10.0958246940243	10.7652839487959	11.8023355894957	12.9346685395597	9.40682709661906	12.2999405508261	10.2682677588883	11.3237176620488	10.7405204532495	11.8609155146272	10.6362662896571	11.4776089471532	12.1640883870372	10.5690460838666	12.0053480027281	11.6162563547079	10.8615344836691	11.1064952141449	11.3649164487729	12.6423329203476	10.8744649059851	10.6774643341347	11.6319480427596	11.7795035543654	12.7293417675167	11.111753990783	10.9976780888308	11.7763127795453
"Opaless3X_1014"	11.7330568342629	12.028625144717	11.8358467431759	11.8769288689923	11.5993417559974	11.9554006449868	11.6358146374259	11.20002773169	12.0761613921727	11.2862478992865	11.7705571360585	11.7410662921347	11.8072157115456	11.6823016740311	11.4368363350681	11.7473929726095	12.3539405267193	11.9246301881411	12.0534476170513	12.2220777393762	12.1381139096872	12.2353913017612	11.3760840200388	11.3210473060505	11.9022442472002	11.810745023391	11.4966350885025	11.8668145848763	11.612582788052	11.6741042129363	11.4935765484581	11.6389065951248	11.6010097598838
"Opaless3X_1015"	7.94855333780451	8.37929524199075	8.18820454451249	8.18486818710521	8.55075905459993	7.8906777318648	8.401816721626	9.00323879546792	8.03712041104332	8.46594289376153	8.51933814675888	8.34824292518329	8.32798667570438	8.68199862836499	8.54101243705528	8.02396004950466	8.65350256286941	7.82406379583037	8.03899165514283	7.86771415219223	8.10886196932618	8.35468864606315	7.64102340098726	8.41734552708557	8.19506706310473	8.09455011548548	8.44945540203862	8.13434426374359	8.13191934889918	8.50416419683324	8.08287270364357	8.46628287652029	8.11986909348456
"Opaless3X_1016"	5.29542974338281	5.87507419769338	5.56607998198116	5.97735680042575	5.05339384813789	5.61823817730967	5.76508490558135	6.02727080221053	6.20843185644839	6.10598119541951	5.89163450282317	5.67108997269169	5.85595648445866	5.88413929575135	6.07560385462718	5.61718166961874	5.53174878799267	5.57208894116596	5.93226590696239	5.84219289866643	5.7838261527802	6.04897371180483	5.76306311611536	6.0467865216785	5.51210484171641	5.85111003106809	6.18334329722126	5.25196055998863	5.5795105213518	5.84183355593397	5.99562319327869	5.42589939540294	5.37739788631045
"Opaless3X_1017"	8.12809278673262	8.1822627160029	8.34453494653013	8.2211963992765	7.98698375308429	7.26181561237486	8.98817173574936	8.65527868695251	8.74595463024012	10.052831677721	7.94449438364538	8.88087356171375	8.40941246567442	9.38339347554857	9.34165722782602	8.97829824278192	9.13966068808043	7.81684414127463	8.11675520645857	7.58536458594483	7.97211987873402	8.27717887908404	9.48781291041164	8.79754000757618	8.84992243111418	9.18880537126549	9.11450151631257	8.67377318843378	9.21641145063285	9.37993244189763	9.59594553767843	9.57260418469496	8.68091247937598
